img_paths,targets
3_img_1553496947496.jpg,3
9_img_1553496924367.jpg,9
9_img_1553496900184.jpg,9
4_img_1553496704663.jpg,4
7_img_1553496861607.jpg,7
4_img_1553496820410.jpg,4
9_img_1553497018128.jpg,9
1_img_1553497109456.jpg,1
0_img_1553496466136.jpg,0
7_img_1553496836963.jpg,7
0_img_1553496903350.jpg,0
8_img_1553496843757.jpg,8
7_img_1553496594809.jpg,7
4_img_1553497119739.jpg,4
0_img_1553496808010.jpg,0
3_img_1553496547362.jpg,3
9_img_1553496853538.jpg,9
9_img_1553497146401.jpg,9
6_img_1553496434052.jpg,6
8_img_1553496681378.jpg,8
6_img_1553497152666.jpg,6
0_img_1553496876836.jpg,0
3_img_1553497119756.jpg,3
8_img_1553496645435.jpg,8
7_img_1553496844155.jpg,7
6_img_1553496777819.jpg,6
6_img_1553496632204.jpg,6
7_img_1553497109899.jpg,7
6_img_1553496430299.jpg,6
2_img_1553496439479.jpg,2
6_img_1553497123364.jpg,6
0_img_1553496660338.jpg,0
3_img_1553496623090.jpg,3
2_img_1553496806363.jpg,2
9_img_1553496848966.jpg,9
9_img_1553497007835.jpg,9
8_img_1553496721576.jpg,8
7_img_1553496992515.jpg,7
8_img_1553496952594.jpg,8
3_img_1553496443038.jpg,3
8_img_1553497155119.jpg,8
6_img_1553496902604.jpg,6
9_img_1553496715951.jpg,9
4_img_1553496932631.jpg,4
6_img_1553496584692.jpg,6
5_img_1553496504890.jpg,5
0_img_1553496700931.jpg,0
6_img_1553496631177.jpg,6
4_img_1553496868623.jpg,4
2_img_1553496634670.jpg,2
0_img_1553496400887.jpg,0
6_img_1553496906277.jpg,6
8_img_1553496897598.jpg,8
8_img_1553497048692.jpg,8
0_img_1553496997564.jpg,0
2_img_1553497160884.jpg,2
2_img_1553497052582.jpg,2
7_img_1553497137360.jpg,7
3_img_1553496765213.jpg,3
0_img_1553496791720.jpg,0
6_img_1553496802754.jpg,6
2_img_1553496651949.jpg,2
4_img_1553496819735.jpg,4
0_img_1553496441061.jpg,0
9_img_1553496972539.jpg,9
8_img_1553496905047.jpg,8
2_img_1553496938025.jpg,2
7_img_1553497122875.jpg,7
8_img_1553496400845.jpg,8
3_img_1553496648050.jpg,3
6_img_1553496934116.jpg,6
1_img_1553497034916.jpg,1
0_img_1553496586032.jpg,0
4_img_1553496985243.jpg,4
6_img_1553496856108.jpg,6
7_img_1553496843687.jpg,7
7_img_1553496828802.jpg,7
1_img_1553497085912.jpg,1
1_img_1553496532887.jpg,1
2_img_1553496662252.jpg,2
0_img_1553496843403.jpg,0
1_img_1553496620410.jpg,1
1_img_1553496834061.jpg,1
6_img_1553496553337.jpg,6
7_img_1553496949832.jpg,7
2_img_1553496682487.jpg,2
8_img_1553497069355.jpg,8
4_img_1553496754779.jpg,4
2_img_1553496917867.jpg,2
5_img_1553496709913.jpg,5
2_img_1553497039267.jpg,2
9_img_1553496474509.jpg,9
6_img_1553496808353.jpg,6
4_img_1553496745850.jpg,4
1_img_1553497062166.jpg,1
6_img_1553496904170.jpg,6
3_img_1553497097285.jpg,3
0_img_1553497080690.jpg,0
2_img_1553496661119.jpg,2
3_img_1553497158353.jpg,3
5_img_1553496768264.jpg,5
3_img_1553496850971.jpg,3
2_img_1553497120980.jpg,2
9_img_1553497099432.jpg,9
4_img_1553496474062.jpg,4
8_img_1553496670270.jpg,8
0_img_1553496421146.jpg,0
7_img_1553496798233.jpg,7
0_img_1553496754975.jpg,0
6_img_1553497116224.jpg,6
0_img_1553496675125.jpg,0
4_img_1553496868771.jpg,4
8_img_1553496848187.jpg,8
4_img_1553496418770.jpg,4
4_img_1553496670660.jpg,4
2_img_1553497114842.jpg,2
0_img_1553496622880.jpg,0
4_img_1553496819516.jpg,4
9_img_1553496448136.jpg,9
2_img_1553496966685.jpg,2
4_img_1553496985520.jpg,4
5_img_1553496675072.jpg,5
6_img_1553497159106.jpg,6
5_img_1553496987959.jpg,5
1_img_1553496670938.jpg,1
9_img_1553496709717.jpg,9
5_img_1553496653691.jpg,5
0_img_1553496687480.jpg,0
