src,dsts,p
worm,['apple'],0.4
apple,['aquarium_fish'],0.4
aquarium_fish,['baby'],0.4
baby,['bear'],0.4
bear,['beaver'],0.4
beaver,['bed'],0.4
bed,['bee'],0.4
bee,['beetle'],0.4
beetle,['bicycle'],0.4
bicycle,['bottle'],0.4
bottle,['bowl'],0.4
bowl,['boy'],0.4
boy,['bridge'],0.4
bridge,['bus'],0.4
bus,['butterfly'],0.4
butterfly,['camel'],0.4
camel,['can'],0.4
can,['castle'],0.4
castle,['caterpillar'],0.4
caterpillar,['cattle'],0.4
cattle,['chair'],0.4
chair,['chimpanzee'],0.4
chimpanzee,['clock'],0.4
clock,['cloud'],0.4
cloud,['cockroach'],0.4
cockroach,['couch'],0.4
couch,['crab'],0.4
crab,['crocodile'],0.4
crocodile,['cup'],0.4
cup,['dinosaur'],0.4
dinosaur,['dolphin'],0.4
dolphin,['elephant'],0.4
elephant,['flatfish'],0.4
flatfish,['forest'],0.4
forest,['fox'],0.4
fox,['girl'],0.4
girl,['hamster'],0.4
hamster,['house'],0.4
house,['kangaroo'],0.4
kangaroo,['keyboard'],0.4
keyboard,['lamp'],0.4
lamp,['lawn_mower'],0.4
lawn_mower,['leopard'],0.4
leopard,['lion'],0.4
lion,['lizard'],0.4
lizard,['lobster'],0.4
lobster,['man'],0.4
man,['maple_tree'],0.4
maple_tree,['motorcycle'],0.4
motorcycle,['mountain'],0.4
mountain,['mouse'],0.4
mouse,['mushroom'],0.4
mushroom,['oak_tree'],0.4
oak_tree,['orange'],0.4
orange,['orchid'],0.4
orchid,['otter'],0.4
otter,['palm_tree'],0.4
palm_tree,['pear'],0.4
pear,['pickup_truck'],0.4
pickup_truck,['pine_tree'],0.4
pine_tree,['plain'],0.4
plain,['plate'],0.4
plate,['poppy'],0.4
poppy,['porcupine'],0.4
porcupine,['possum'],0.4
possum,['rabbit'],0.4
rabbit,['raccoon'],0.4
raccoon,['ray'],0.4
ray,['road'],0.4
road,['rocket'],0.4
rocket,['rose'],0.4
rose,['sea'],0.4
sea,['seal'],0.4
seal,['shark'],0.4
shark,['shrew'],0.4
shrew,['skunk'],0.4
skunk,['skyscraper'],0.4
skyscraper,['snail'],0.4
snail,['snake'],0.4
snake,['spider'],0.4
spider,['squirrel'],0.4
squirrel,['streetcar'],0.4
streetcar,['sunflower'],0.4
sunflower,['sweet_pepper'],0.4
sweet_pepper,['table'],0.4
table,['tank'],0.4
tank,['telephone'],0.4
telephone,['television'],0.4
television,['tiger'],0.4
tiger,['tractor'],0.4
tractor,['train'],0.4
train,['trout'],0.4
trout,['tulip'],0.4
tulip,['turtle'],0.4
turtle,['wardrobe'],0.4
wardrobe,['whale'],0.4
whale,['willow_tree'],0.4
willow_tree,['wolf'],0.4
wolf,['woman'],0.4
woman,['worm'],0.4
