label,label_noisy
19,49
29,49
0,49
11,49
1,49
86,48
90,48
28,49
23,49
31,49
39,49
96,48
82,48
17,49
71,48
39,39
8,49
97,48
80,48
71,71
74,48
59,48
70,48
87,48
59,59
84,48
64,48
52,48
42,49
64,64
8,8
17,17
47,49
65,48
21,49
22,49
81,48
11,11
24,49
84,84
78,48
45,49
49,48
97,97
56,48
76,48
11,55
90,90
89,48
78,78
73,48
14,49
87,87
9,49
71,54
6,49
47,47
20,49
98,48
47,55
36,49
55,48
72,48
43,49
51,48
35,49
83,48
33,49
27,49
53,48
92,48
50,48
15,49
89,89
36,36
18,49
89,54
46,49
33,33
42,42
39,55
64,54
75,48
38,49
23,23
42,55
66,48
77,48
49,49
18,18
46,46
15,15
35,35
69,48
95,48
83,83
75,75
99,48
73,73
93,48
55,55
39,39
4,49
97,54
61,48
93,93
51,51
69,69
56,56
84,54
59,54
64,64
94,48
4,4
11,11
33,55
68,48
38,38
20,20
33,33
34,49
32,49
46,55
53,53
88,48
67,48
70,70
64,18
53,55
64,64
8,55
96,96
87,54
30,49
20,55
30,30
66,66
19,19
76,76
87,87
52,52
62,48
35,55
63,48
40,49
4,55
99,99
63,63
74,74
53,53
26,49
95,95
48,49
27,27
33,18
29,29
39,18
79,48
32,32
46,46
64,73
28,28
85,48
32,55
82,82
78,54
39,39
54,48
28,55
66,54
65,65
72,72
21,21
64,45
62,62
72,54
0,0
44,49
7,49
12,49
19,55
11,19
31,31
61,61
79,79
45,45
81,81
79,54
98,98
43,43
46,18
67,67
80,80
68,68
74,54
48,48
81,54
94,94
86,86
69,54
39,73
73,54
2,49
46,46
49,55
63,54
43,55
14,14
49,49
68,54
65,54
41,49
37,49
45,55
36,55
21,55
77,77
37,37
39,46
8,8
9,9
62,54
86,54
39,69
19,19
54,54
39,39
28,28
11,11
89,89
90,54
90,90
79,79
66,66
81,81
21,21
79,18
40,40
29,55
22,22
13,49
25,49
11,73
38,55
10,49
96,54
54,55
65,65
39,23
40,55
42,42
48,55
48,48
51,55
11,46
23,55
23,23
89,18
52,55
46,73
2,2
95,54
43,43
86,86
34,34
66,18
18,55
46,45
66,66
56,54
57,48
1,1
44,44
11,69
82,54
23,18
90,18
56,56
19,18
68,68
66,73
28,18
1,55
57,57
67,54
5,49
13,13
78,78
6,6
84,84
7,7
41,41
65,18
80,54
12,12
50,50
63,63
26,26
8,19
53,18
60,48
99,54
97,97
85,85
0,55
78,18
31,55
10,10
2,55
7,55
43,18
83,54
97,18
91,48
82,82
28,28
42,18
0,0
82,18
5,5
68,18
60,60
30,55
98,54
82,82
20,20
64,69
66,45
10,55
75,54
54,54
57,54
87,18
66,69
66,66
73,73
54,18
88,88
42,42
37,55
80,80
87,87
3,49
29,29
43,43
12,55
73,18
96,96
23,23
96,18
84,18
19,19
62,62
0,19
21,18
11,11
36,36
64,64
76,54
60,54
3,3
80,18
82,72
79,79
26,55
65,65
72,72
11,24
15,55
31,31
48,18
12,12
91,91
71,71
87,72
77,54
15,15
7,7
58,48
51,51
55,54
85,54
2,2
3,55
89,89
10,10
3,3
11,11
20,18
4,4
48,48
27,55
48,73
7,19
67,67
3,19
65,73
56,18
9,55
44,55
95,95
46,69
83,83
40,40
58,58
87,45
59,59
18,18
48,45
5,55
88,54
26,26
21,21
24,24
53,53
68,68
49,18
89,72
96,96
92,92
7,7
13,55
99,99
49,49
22,55
56,56
67,18
13,13
97,97
6,55
19,73
76,76
65,45
